kvartal,bnp
2000-03-01,607318
2000-06-01,598547
2000-09-01,604356
2000-12-01,604594
2001-03-01,611667
2001-06-01,610581
2001-09-01,618097
2001-12-01,623469
2002-03-01,618016
2002-06-01,630856
2002-09-01,621494
2002-12-01,628512
2003-03-01,628727
2003-06-01,625733
2003-09-01,634524
2003-12-01,634728
2004-03-01,657036
2004-06-01,658388
2004-09-01,650786
2004-12-01,657180
2005-03-01,668071
2005-06-01,671574
2005-09-01,677146
2005-12-01,678669
2006-03-01,683039
2006-06-01,683892
2006-09-01,690911
2006-12-01,703556
2007-03-01,704076
2007-06-01,704065
2007-09-01,713099
2007-12-01,720859
2008-03-01,712091
2008-06-01,712446
2008-09-01,711144
2008-12-01,713372
2009-03-01,707593
2009-06-01,701369
2009-09-01,701821
2009-12-01,702195
2010-03-01,716010
2010-06-01,708399
2010-09-01,690819
2010-12-01,710213
2011-03-01,710486
2011-06-01,707548
2011-09-01,718949
2011-12-01,719320
2012-03-01,734701
2012-06-01,736433
2012-09-01,725758
2012-12-01,731689
2013-03-01,733289
2013-06-01,738586
2013-09-01,745830
2013-12-01,744509
2014-03-01,748235
2014-06-01,753765
2014-09-01,756934
2014-12-01,766187
2015-03-01,764247
2015-06-01,768298
2015-09-01,777301
2015-12-01,770475
2016-03-01,777810
2016-06-01,775498
2016-09-01,769534
2016-12-01,784852
2017-03-01,788296
2017-06-01,794507
2017-09-01,798720
2017-12-01,800333
2018-03-01,802927
2018-06-01,806538
2018-09-01,811190
