Total,Oil and Gas,Ships and Platforms,Services,Other Goods
149994,1780,15944,53829,79239
147712,1610,13937,53865,81219
145130,2421,10421,52143,81413
145170,2339,6813,55219,81427
149655,1992,8039,57627,83246
149951,2247,6369,57511,84654
148498,1803,7190,54921,85268
149749,2199,9134,54853,84572
149945,2093,3430,56410,86912
153306,1799,13624,56176,85977
149145,1916,4452,55383,86859
150941,1704,6070,55561,88091
151044,2575,5601,53211,89537
151289,1748,4995,53787,90768
153945,1657,5454,54055,92342
154632,1598,3703,54691,94862
160446,1499,4709,56650,97930
164655,2096,5453,54339,102346
170303,2247,5743,55339,106100
170511,1906,7903,57014,104170
171505,1996,5566,57066,104819
175837,1614,6458,60088,109825
184370,1807,6121,60392,114841
186260,2589,6102,62650,114962
187643,1683,6198,59146,119728
193314,1353,9358,63050,119641
195839,1484,7187,64370,121270
207285,1815,3972,66895,135267
212739,3380,7061,69475,132178
214880,4776,7073,68669,133372
212841,2965,9826,69497,128965
222982,3423,8411,74524,137342
224853,2149,9690,71691,141253
222733,1948,10241,72466,138083
225000,1767,14780,72965,136083
220684,2534,18468,74909,125226
197158,3131,8510,66128,119200
197770,2907,10590,68549,115750
201059,3600,8645,68214,119620
203424,2842,14068,69865,117241
208875,1986,10035,72274,124959
221164,3048,11057,76146,130545
220699,2910,10685,76748,129920
218409,2049,8137,75135,133173
233629,3597,22376,73630,134705
216266,1760,6924,74194,133310
220489,1891,7229,77477,133786
231324,2193,6301,84848,137569
229443,2063,6937,82510,137760
234291,3439,7177,84635,137952
232605,1925,6189,84625,139741
231841,1963,7042,83396,139352
238289,2305,8778,87046,140081
242306,2473,8613,90392,140641
246213,3210,9186,90060,143199
245818,2078,6805,94077,142775
241579,2136,5831,90374,143198
250600,2057,7798,94723,146011
262686,2406,19256,93986,147029
248732,2605,5980,94611,145397
254380,2512,9092,91508,151200
253493,2246,9218,91769,150244
250499,2059,9865,91990,146595
255085,2312,7385,95595,149740
258455,2302,8333,97390,150430
257691,1891,11486,97530,146785
267513,2666,15524,98478,150845
261910,1912,15354,97238,147406
264163,2386,14942,96255,150581
265360,2510,12867,96987,152995
266105,2943,10134,98561,154467
270852,3194,11709,98175,157775
264134,3743,7346,96164,156881
273272,3796,11266,99245,158966
271845,3437,9691,99824,158893
