;kode;tittel;princ
16;137.0;Våler;
17;426.0;Våler;
37;236.0;Nes;
38;616.0;Nes;
42;301.0;Oslo;
63;441.0;Os;
64;1243.0;Os;
117;713.0;Sande;
118;1514.0;Sande;
134;821.0;Bø;
135;1867.0;Bø;
263;1515.0;Herøy;
264;1818.0;Herøy;
332;1739.0;Røyrvik;
404;1939.0;Storfjord;
428;9999.0;Uoppgitt;
429;;;Våler (Østf.)
430;;;Nes (Ak.)
431;;;Oslo kommune
432;;;Våler (Hedm.)
433;;;Os (Hedm.)
434;;;Nes (Busk.)
435;;;Sande (Vestf.)
436;;;Bø (Telem.)
437;;;Os (Hord.)
438;;;Sande (M. og R.)
439;;;Herøy (M. og R.)
440;;;Raarvihke Røyrvik
441;;;Herøy (Nordl.)
442;;;Bø (Nordl.)
443;;;Harstad (-2012)
444;;;Bjarkøy (-2012)
445;;;Storfjord Omasvuotna Omasvuono
